// Hyena subclass:

Shenzi, 4 year old female hyena, born in spring, tan color, 70 pounds, from Friguia Park, Tunisia, laugh
Banzai, 12 year old male hyena, born in fall, brown color, 150 pounds, from Friguia Park, Tunisia, laugh
Ed, 4 year old male hyena, born in spring, black color, 120 pounds, from Friguia Park, Tunisia, laugh
Fig, 8 year old female hyena, unknown birth season, black and tan striped color, 105 pounds, from Friguia Park, Tunisia, laugh

// Lion subclass:
Scar, 6 year old female lion, born in spring, tan color, 300 pounds, from Zanzibar, Tanzania, growl
Mufasa, 12 year old female lion, born in winter, dark tan color, 375 pounds, from KopeLion, Tanzania, roar
Simba, 22 year old male lion, born in fall, golden color, 450 pounds, from Zanzibar, Tanzania, growl
Kiara, 4 year old female lion, born in spring, tan and brown color, 275 pounds, from KopeLion, Tanzania, roar

// Tiger subclass:
Tony, 2 year old male tiger, born in spring, gold and tan stripes color, 270 pounds, from Dhaka, Bangladesh, growl
Tigger, 4 year old female tiger, born in spring, black stripes color, 400 pounds, from Dhaka, Bangladesh, roar
Amber, 18 year old male tiger, born in fall, gold and tan color, 300 pounds, from Bardia, Nepal, roar
Cosimia, 3 year old female tiger, born in spring, black stripes color, 285 pounds, from Bardia, Nepal, growl

// Bear subclass:
Yogi, 7 year old male bear, born in spring, brown color, 320 pounds, from Alaska Zoo, Alaska, roar
Baloo, 25 year old female bear, born in spring, black color, 425 pounds, from Woodland park Zoo, Washington, growl
Paddington, 4 year old female bear, born in fall, black color, 355 pounds, from Woodland park Zoo, Washington, growl
Winnie the Pooh, 4 year old male bear, born in spring, brown color, 405 pounds, from Alaska Zoo, Alaska, roar
