// Hyena subclass:
4 year old female hyena, born in spring, tan color, 70 pounds, from Friguia Park, Tunisia, laugh
12 year old male hyena, born in fall, brown color, 150 pounds, from Friguia Park, Tunisia, laugh
4 year old male hyena, born in spring, black color, 120 pounds, from Friguia Park, Tunisia, laugh
8 year old female hyena, unknown birth season, black and tan striped color, 105 pounds, from Friguia Park, Tunisia, laugh

// Lion subclass:
6 year old female lion, born in spring, tan color, 300 pounds, from Zanzibar, Tanzania, growl
12 year old female lion, born in winter, dark tan color, 375 pounds, from KopeLion, Tanzania, roar
22 year old male lion, born in fall, golden color, 450 pounds, from Zanzibar, Tanzania, growl
4 year old female lion, born in spring, tan and brown color, 275 pounds, from KopeLion, Tanzania, roar

// Tiger subclass:
2 year old male tiger, born in spring, gold and tan stripes color, 270 pounds, from Dhaka, Bangladesh, growl
4 year old female tiger, born in spring, black stripes color, 400 pounds, from Dhaka, Bangladesh, roar
18 year old male tiger, born in fall, gold and tan color, 300 pounds, from Bardia, Nepal, roar
3 year old female tiger, born in spring, black stripes color, 285 pounds, from Bardia, Nepal, growl

// Bear subclass:
7 year old male bear, born in spring, brown color, 320 pounds, from Alaska Zoo, Alaska, roar
25 year old female bear, born in spring, black color, 425 pounds, from Woodland park Zoo, Washington, growl
4 year old female bear, born in fall, black color, 355 pounds, from Woodland park Zoo, Washington, growl
4 year old male bear, born in spring, brown color, 405 pounds, from Alaska Zoo, Alaska, roar
